u,v,key,osmid,highway,lanes,oneway,reversed,length,name,tunnel,maxspeed,junction,bridge,access,ref,width,edge_id,label,label_status
265062760,3070592956,0,150999233,trunk_link,2,TRUE,FALSE,213.671521,,,,,,,,,0,,unlabeled
265062760,654173722,0,"[51270843, 51270845, 1098417630]",trunk,"['2', '3']",TRUE,FALSE,530.1022062,شارع الملكة نور,yes,,,,,,,1,,unlabeled
265071538,1642821278,0,689772456,primary,2,TRUE,FALSE,98.32200471,شارع عبد المنعم رياض,,50,,,,,,2,1,labeled
265071550,417304108,0,687082388,tertiary,1,TRUE,FALSE,44.00063981,شارع عبد المنعم رياض,,,,,,,,3,,unlabeled
265071550,265071559,0,"[689772453, 1302614583, 97100151, 1302614584, 97100153]",primary,2,TRUE,FALSE,491.8566892,"['شارع الشريف الحسين بن علي', 'شارع عبد المنعم رياض']",yes,50,,,,,,4,,unlabeled
265071552,1642821646,0,151463259,residential,,TRUE,FALSE,126.1276882,شارع عكرمة بن عبدالله,,,,,,,,5,,unlabeled
265071552,1640172112,0,151537850,tertiary,2,TRUE,FALSE,40.87462139,شارع عبد المنعم رياض,,,,,,,,6,,unlabeled
265071559,3250139548,0,151190246,primary,2,TRUE,FALSE,8.661754661,شارع الشريف الحسين بن علي,,60,,,,,,7,,unlabeled
265071560,1642384990,0,151190258,residential,,TRUE,FALSE,138.6251723,شارع الملكة مصباح,,,,,,,,8,,unlabeled
265071566,1642821688,0,138407864,residential,,FALSE,TRUE,62.31215557,شارع أحمدو بيلو,,,,,,,,9,,unlabeled
265071566,1641520091,0,377973343,tertiary,2,FALSE,TRUE,160.1503084,شارع الأمير محمد,,,,,,,,10,,unlabeled
265071566,1642384857,0,674037189,tertiary,2,FALSE,FALSE,142.958309,شارع الأمير محمد,,,,,,,,11,,unlabeled
265071573,6647630078,0,566098285,secondary,2,FALSE,FALSE,8.195955398,شارع الأمير محمد,,,,,,,,12,,unlabeled
265071573,6455960028,0,688456049,tertiary,3,FALSE,TRUE,32.20385133,شارع الأمير محمد,,,,,,,,13,,unlabeled
265071577,6647572810,0,151415697,secondary,2,TRUE,FALSE,14.51930883,شارع الأمير محمد,,,,,,,,14,,unlabeled
265071577,6479014356,0,151415700,secondary,2,FALSE,FALSE,459.7960082,شارع الأمير محمد,,,,,,,,15,,unlabeled
265071588,6486574922,0,151415702,secondary,2,FALSE,FALSE,16.91881125,شارع الأمير محمد,,,,,,,,16,,unlabeled
265071588,6479014351,0,32444339,tertiary,2,FALSE,FALSE,20.33855312,شارع 9 شعبان,,,,,,,,17,,unlabeled
265071594,1337022138,0,690031058,secondary,2,TRUE,FALSE,29.03800936,شارع الأمير محمد,,,,,,,,18,,unlabeled
265071594,6486574922,0,"[690560580, 151415702]",secondary,"['2', '3']",FALSE,TRUE,216.3339311,شارع الأمير محمد,,,,,,,,19,,unlabeled
265071664,639579246,0,40439462,trunk,3,TRUE,FALSE,262.8952454,شارع مسلم بن الوليد,,,,,,,,20,,unlabeled
267842113,1710385295,0,158918238,residential,,FALSE,FALSE,29.03904769,,,,,,,,,21,,unlabeled
267842113,316985656,0,815825723,trunk,3,TRUE,FALSE,104.8541706,شارع الأمير الحسن,,60,,,,,,22,,unlabeled
267842118,1634662611,0,150003356,primary,4,FALSE,FALSE,101.171014,شارع الأمير الحسن,,,,,,,,23,,unlabeled
267842118,316985649,0,150003356,primary,4,FALSE,TRUE,43.71708764,شارع الأمير الحسن,,,,,,,,24,,unlabeled
274288585,970179170,0,251504658,primary,3,TRUE,FALSE,50.12862627,شارع الهاشمي,,,,,,,,25,,unlabeled
274288588,1642821184,0,151283602,primary,3,TRUE,FALSE,72.69830495,شارع الملك طلال,,,,,,,,26,0,labeled
277734654,6478404181,0,379523982,trunk,2,TRUE,FALSE,105.6179122,شارع الجيش,,,,,,,,27,,unlabeled
